"","ID","Trial","Option1_PPT","Option1_Partner","Option2_PPT","Option2_Partner","PPTActions","Action","Correct","FixActions","Phase"
"1",NA,1,6,6,10,6,2,1,NA,NA,1
"2",NA,2,7,7,10,7,1,1,NA,NA,1
"3",NA,3,8,8,10,8,2,1,NA,NA,1
"4",NA,4,6,6,6,2,1,1,NA,NA,1
"5",NA,5,7,7,7,2,1,1,NA,NA,1
"6",NA,6,8,8,8,2,1,1,NA,NA,1
"7",NA,7,6,2,8,6,2,2,NA,NA,1
"8",NA,8,7,2,8,6,1,2,NA,NA,1
"9",NA,9,8,2,9,6,2,2,NA,NA,1
"10",NA,10,12,8,8,8,1,2,NA,NA,1
"11",NA,11,12,9,9,9,2,2,NA,NA,1
"12",NA,12,12,10,10,10,2,2,NA,NA,1
"13",NA,13,8,5,8,8,2,2,NA,NA,1
"14",NA,14,9,5,9,9,2,2,NA,NA,1
"15",NA,15,10,5,10,10,2,2,NA,NA,1
"16",NA,16,10,6,8,2,1,2,NA,NA,1
"17",NA,17,11,6,9,2,1,2,NA,NA,1
"18",NA,18,12,6,10,2,2,2,NA,NA,1
"19",NA,19,4,4,8,4,2,1,NA,NA,1
"20",NA,20,5,5,8,5,2,1,NA,NA,1
"21",NA,21,6,6,8,6,2,1,NA,NA,1
"22",NA,22,5,5,5,1,1,1,NA,NA,1
"23",NA,23,6,6,6,1,2,1,NA,NA,1
"24",NA,24,7,7,7,1,1,1,NA,NA,1
"25",NA,25,5,1,7,5,1,2,NA,NA,1
"26",NA,26,6,1,7,5,1,2,NA,NA,1
"27",NA,27,7,1,8,5,2,2,NA,NA,1
"28",NA,28,10,6,6,6,1,2,NA,NA,1
"29",NA,29,10,7,7,7,1,2,NA,NA,1
"30",NA,30,10,8,8,8,1,2,NA,NA,1
"31",NA,31,6,3,6,6,2,2,NA,NA,1
"32",NA,32,7,3,7,7,1,2,NA,NA,1
"33",NA,33,8,3,8,8,1,2,NA,NA,1
"34",NA,34,9,5,7,1,1,2,NA,NA,1
"35",NA,35,10,5,8,1,1,2,NA,NA,1
"36",NA,36,11,5,9,1,1,2,NA,NA,1
"37",NA,37,6,6,10,6,2,1,0,2,2
"38",NA,38,7,7,10,7,2,1,0,1,2
"39",NA,39,8,8,10,8,1,1,1,1,2
"40",NA,40,6,6,6,2,1,1,1,1,2
"41",NA,41,7,7,7,2,1,1,1,1,2
"42",NA,42,8,8,8,2,1,1,1,1,2
"43",NA,43,6,2,8,6,2,2,1,2,2
"44",NA,44,7,2,8,6,2,2,1,2,2
"45",NA,45,8,2,9,6,1,2,0,2,2
"46",NA,46,12,8,8,8,1,2,0,1,2
"47",NA,47,12,9,9,9,2,2,1,2,2
"48",NA,48,12,10,10,10,2,2,1,1,2
"49",NA,49,8,5,8,8,2,2,1,1,2
"50",NA,50,9,5,9,9,2,2,1,2,2
"51",NA,51,10,5,10,10,2,2,1,1,2
"52",NA,52,10,6,8,2,1,1,1,2,2
"53",NA,53,11,6,9,2,1,1,1,1,2
"54",NA,54,12,6,10,2,1,1,1,1,2
"55",NA,55,10,6,6,6,2,2,1,2,2
"56",NA,56,10,7,7,7,2,2,1,2,2
"57",NA,57,10,8,8,8,1,2,0,1,2
"58",NA,58,6,2,6,6,2,2,1,2,2
"59",NA,59,7,2,7,7,2,2,1,2,2
"60",NA,60,8,2,8,8,2,2,1,2,2
"61",NA,61,8,6,6,2,1,1,1,1,2
"62",NA,62,8,6,7,2,1,1,1,2,2
"63",NA,63,9,6,8,2,1,1,1,1,2
"64",NA,64,8,8,12,8,1,1,1,1,2
"65",NA,65,9,9,12,9,1,1,1,1,2
"66",NA,66,10,10,12,10,2,1,0,2,2
"67",NA,67,8,8,8,5,1,1,1,2,2
"68",NA,68,9,9,9,5,1,1,1,1,2
"69",NA,69,10,10,10,5,1,1,1,1,2
"70",NA,70,8,2,10,6,2,2,1,2,2
"71",NA,71,9,2,11,6,2,2,1,1,2
"72",NA,72,10,2,12,6,2,2,1,2,2
"73",NA,73,4,4,8,4,1,1,1,1,2
"74",NA,74,5,5,8,5,1,1,1,1,2
"75",NA,75,6,6,8,6,1,1,1,1,2
"76",NA,76,5,5,5,1,1,1,1,1,2
"77",NA,77,6,6,6,1,1,1,1,1,2
"78",NA,78,7,7,7,1,1,1,1,1,2
"79",NA,79,5,1,7,5,2,2,1,1,2
"80",NA,80,6,1,7,5,2,2,1,1,2
"81",NA,81,7,1,8,5,2,2,1,1,2
"82",NA,82,10,6,6,6,2,2,1,1,2
"83",NA,83,10,7,7,7,2,2,1,2,2
"84",NA,84,10,8,8,8,2,2,1,2,2
"85",NA,85,6,3,6,6,2,2,1,2,2
"86",NA,86,7,3,7,7,2,2,1,2,2
"87",NA,87,8,3,8,8,2,2,1,2,2
"88",NA,88,9,5,7,1,1,1,1,1,2
"89",NA,89,10,5,8,1,1,1,1,1,2
"90",NA,90,11,5,9,1,1,1,1,1,2
"91",NA,91,6,6,10,6,1,1,NA,NA,3
"92",NA,92,7,7,10,7,2,1,NA,NA,3
"93",NA,93,8,8,10,8,1,1,NA,NA,3
"94",NA,94,6,6,6,2,1,1,NA,NA,3
"95",NA,95,7,7,7,2,2,1,NA,NA,3
"96",NA,96,8,8,8,2,1,1,NA,NA,3
"97",NA,97,6,2,8,6,2,2,NA,NA,3
"98",NA,98,7,2,8,6,2,2,NA,NA,3
"99",NA,99,8,2,9,6,2,2,NA,NA,3
"100",NA,100,12,8,8,8,1,2,NA,NA,3
"101",NA,101,12,9,9,9,1,2,NA,NA,3
"102",NA,102,12,10,10,10,1,2,NA,NA,3
"103",NA,103,8,5,8,8,2,2,NA,NA,3
"104",NA,104,9,5,9,9,2,2,NA,NA,3
